Author,Date,Cool,Funny,Useful,Rating,Message,Author Reviews,Author Friends,(view source)
Julianne W.,15/07/18,,1,,3,"My first restaurant in Charlottesville!! Aaaand it was just OK haha. The ambiance is lovely; really clean and modern, with high ceilings and windows. Bathrooms are nice too, which is always a big plus. 

The food I wouldn't go out of my way to come back for. Overall, everything was mediocre, and a couple dishes had added flavors that I did not care for. We ordered three courses from the Restaurant Week menu, those being the unagi don, torotaki, and shrimp rock tempura. The unagi don was definitely the worst thing we ordered; you don't really need to add much to sushi rice and well-cooked, good-quality unagi. But for some reason... they found the need to add a sort of ume seasoning in the form of furikake. It was weird. Like, the rice and thus the dish overall took on a sourer flavor that overpowered the normally fabulous, sweet taste of unagi. So that was mildly upsetting. The rock shrimp was certainly unique; it looks like tater tots, and the breading is thinner and softer. I personally prefer that, as there's more room for the actual shrimp. The torotaki was fine -- six pieces -- and tasted simple and relatively fresh. Can't say that the toro tasted special or far better than regular tuna, which is usually what I look for when I order toro. 

We also ordered three rolls -- the blue crab, the sake, and the rainbow -- and the Ten salad. The Ten salad combined some very strange vegetables, and overall I don't think they were very fresh, as some of the lettuce was way too bitter. The rolls had way too much mayo dolloped on top, which is a signal (to me) of over-Americanization of fresh, Japanese flavors that ought to be allowed to shine through on their own without being totally smothered by sauce. I also think the presentation was lacking... especially taking the classy ambiance into consideration. It was a tad messy. 

LASTLY, the wasabi was SO dulled down, and it was a weird color. And there was very little of it. 

Overall a totally lackluster experience -- though I am quite particular when it comes to Japanese food. I love the atmosphere and would maybe come back for just drinks, but no way would I recommend the place on the merit of their food alone.",42,827,view review
Christopher N.,27/07/18,,,,5,"Amazing food, amazing service, amazing atmosphere and location. 

My group came in not knowing anything -- our waitress ran us through everything,  and was incredibly pleasant to boot. We ended up going with the honey roll, the sake roll, and the wagyu beef roll, with an udon appetizer. All of our food came very promptly despite it being decently busy.

The udon came out very heavy on the salt, but the waitress provided us with hot water to dilute it almost immediately. All of the sushi was fantastic, we demolished it. Wrapped up with a triple sake tasting. I asked the bartender about sake, as I'm planning on visiting Japan this year, and he gave me an entire masterclass session about the sake brewing process, the terminology of each type of sake, and his own recommendations based on the preferences I listed. The sakes were all very interesting; worth trying even if you don't end up loving sake.

To top it all off, Ten is located right on the Downtown Mall in a well-decorated, cozy, and modern-feeling space. While it was a bit expensive (right around $70 including tax), I think it was more than worth it for the experience. 

Highly, highly recommended. I hope to come back to Ten as soon as I can to try more of their offeings.",9,121,view review
JoshandPaige W.,3/2/19,,,1,2,Overpriced for mediocre sushi. Service was really good though. We enjoyed the atmosphere but we came looking for amazing sushi and it was just ok.,6,804,view review
Gregory J.,10/4/19,,,,5,"Whoa! The skewers were soo great I ate three! We also had some amazing lobster tempura that was only $16 for a full portion. Great prices, beautiful ambiance and a luxurious feel to a quality dining experience on the downtown mall in Charlottesville. A must try location in my book.",126,1163,view review
Erich R.,11/5/19,,,1,3,The quality of the food and drink was good. However the price did not feel justifiable for the small increase in quality compared to other places which also offer good Japanese food but for a much lower cost. Furthermore the portions often felt quite small. The vibe of the place is very nice as a modern fusion restaurant. Having been here twice already it's the kind of place that I think is worth going to but not necessarily so good to try to prioritize.,326,124,view review
Cristina W.,16/05/19,,,,4,"I love a good sushi spot - and must say Ten is one of the better places in C'Ville to satisfy your sushi craving.  My first interaction was for restaurant week where we tried the beef tartare roll, the hamachi, and the omakase nigiri.  Everything was excellent and fresh!   I will say however, that you do pay the primo prices for a spot like this - so just be prepared!

The other occasions that have brought me here have been for a quick bite before a show at the Paramount or Jefferson.  They do offer a happy hour, but only at the bar and lounge area, which is first come first serve.  I have enjoyed sake flights here on multiple occasions that have been refreshing and delightful.

Basically, I like Ten - it's fun and fresh though a little on the pricey side.  Great place to come ball out for a nice dinner but also a cool hang for some cocktails and munchable rolls!",313,245,view review
Philip T.,12/6/19,,,,5,"Ten rates a 10 for me! 
Ok it's a walk up an inestimable flight of stairs but it opens up into a beautiful modern expansive room with a wall of lights and a pleasant host to greet you . While most of the selections are a la carte,  the attentive wait staff help navigate you to the treasure filled tasting trove of sushi and  other delectables  not often found in many Japanese restaurants. We kicked off the meal with Wagu beef skewers which were delicious in a scallion wasabe topping. Next was the Tuna roll and 4 sushi selections. Just enough and artistically displayed on your plate.
I enjoyed the green tea to wash it all down and my brother enjoyed one of the innumerable sake selections.
Excellent and diverse bar choices.
This place is run by people who aim to please across the board. The price of the meal is worth every dime.
Thank you!",42,,view review
Anne Z.,19/06/19,,,,5,"What an amazing meal!!! Ten was definitely the best sushi I have had in Charlottesville. This restaurant is Manhattan quality right here in central Virginia and the prices are justified by the extraordinary flavors & atmosphere. The restaurant and bar are beautiful and the service was superb. Our server Jack provided one of the best experiences in a long time and his recommendations were spot on. I am still thinking about the tempura calamari which had a perfectly spicy Korean sauce & all of the raw fish was of the highest quality and freshness. This is it for me, this is my sushi spot from now on...I can't say enough good things about my experience here at Ten.",60,2,view review
Ben S.,29/08/19,,,,5,"**Update**

Went back for a second night, and everything was equal to or better than our first experience. Excellent waitstaff, consistent quality of food and drinks. Upgrading to five stars!

----

Went to Ten for a date night on Friday night and scored a table without a reservation. Although the downtown mall was hopping, I think Ten gets overlooked because it is upstairs. We were seated in the back bar ""day"" themed area, but I'd recommend asking for the front section ""night"" themed area if possible. We had a great waitress and excellent service throughout the night. We came for a sushi night, but specifically because they had numerous vegetarian options. Everything was great - we got veggie tempura, avocado tempura, avocado roll, cucumber roll, and the two other vegetarian rolls (a shitake mushroom based one, and a cucumber/avocado roll with plum sauce). The plum sauce was really floral and unique. We sprung for green tea mochi for desert - it wasn't for us (first time trying it), but I think it was a good version of mochi! Great spot for a date or classy meal with friends. Prices were reasonable for Charlottesville. We'll be back!",1128,110,view review
Travis B.,1/9/19,,,,1,Terrible spot overall. Was overpriced and the service that night was off. I would not recommend going here. Money can be best spent elsewhere.,89,107,view review
Rose W.,4/10/19,,,,5,"I absolutely love going here. We save it for special occasions because it's pricey, but I've never had any kind of disappointment from this place. Food and drinks are always wonderful and service is always great.",7,4,view review
Cameron H.,25/11/19,,,,5,"I'm a fan! Service is friendly and attentive, the space is pretty and elegant, and the food tastes great. I love the miso soup and the lobster tempura. The tuna sashimi we had was a delight.",44,442,view review
Tricia W.,2/12/19,,,,5,"I kept hearing how good (but expensive) Ten was, so I was surprised at how reasonably priced the menu was. And the food was even tastier than I'd imagined. We ordered a bunch of plates to share for the table and everything was high quality, fresh, and delicious. The hamachi and tempura lobster were my personal favorites, but the udon, harami, and rolls we got were very tasty too. Oh, and the beignets we got for dessert...heavenly.",108,151,view review
Gray M.,1/1/20,,,,5,"I'm giving a 5 star because the setting was beautiful, staff was good, sushi and sake were excellent. Price was within expectation for the great location, toward the high side. 
I had made a reservation and indicated that it was a special birthday. No mention of the birthday at any point throughout the night by the staff did turn me off. A little more attention to detail would have gone a long way.",8,,view review
Rayan K.,16/02/20,,,,4,"Came here on a Saturday night. Loved the ambiance, very cute place. Friendly service. We ordered the edamame (really good appetizer) and the shrimp tempura (which was amazing/super juicy shrimp lightly fried). We Got three sushi rolls. Dragon, Japanese beef (really tender yummy beef) and unagi sansho. Honestly the rolls were mediocre/I've had better. The beef one was the best. We also made a reservation in advance. It is on the pricier side esp the sushi rolls",46,138,view review
Bill R.,31/05/20,,,,5,Some of the best Sushi and Sashimi I've ever had and I've traveled the world. Now it's NOT CHEAP. But what is these days. It's worth every penny imho. The kitchen puts out some nice treats too. Been eating there since they opened.,34,,view review
Tracy G.,1/7/20,1,1,,1,"Well I just called to ask what precautions they had taken to allow indoor dining during the pandemic, and the manager hung up on me (or whomever answered the phone) as soon as I asked the question! I guess they haven't taken any!",7,,view review
DaSean J.,22/07/20,,,,4,Great sushi. Ok service. Get the coffee and donuts for dessert! Would come back here time and time again,16,443,view review
Buck H.,23/09/20,,,1,5,"Are you interested in eating good sushi? Want to know what the deal is after watching that doc on Netflix? Ever googled nobu from hearing the Drake/Future jumpman lyrics? TEN IS THE BEST RESTAURANT IN CHARLOTTESVILLE. The food is amazing and you learn a little more about food in the process. High quality service, follow the lead of your waiter or take the chef recommendations. Sake is awesome too. We got nigiri a spicy roll and the miso sea bass. Out of all of that I had one ""ok"" bite of food and all the others were nearly perfect. Atmosphere also dope.",2,235,view review
Vanessa P.,23/09/20,,,,5,"This place is hands down AMAZING. First off, the ambience is very cool and trendy but welcoming and cozy at the same time. Our service was excellent too. The staff was friendly and extremely knowledgeable about every item on the menu, including a variety of sakes. And then the food. WOW. Honestly the sushi melted in your mouth. And get the sea bass. One of the best dishes I've ever had. I'll dream of this place and can't wait to come back.",1,236,view review
Melissa W.,12/10/20,1,,,5,"Fantastic food. Great service. Socially distanced tables, masks required. Would definitely go back!",14,,view review
Vi R.,13/10/20,1,,,5,"This place felt like a hidden gem. The door entrance was next to a bigger restaurant. Through the door you walk up to the restaurant on the second floor and the ambience was amazing, very modern chic, clean and welcoming. We had excellent service. The waiter really knew his was around the menu. The food was excellent and the price was expected for a modern sushi restaurant. I was amazed to find something like this in Charlottesville considering I'm from Virginia Beach. Would definitely return.",245,84,view review
Gcarmilla C.,24/11/20,1,,1,5,"Beautiful place, attentive service, great food. My husband and I came for dinner on my birthday. We ordered the wagyu beef roll and the soft shell crab roll. Both were delicious. We also got the yasai maki (vegetable roll) but I cannot say we enjoyed it as much.",6,,view review
Carolina C.,14/02/21,,,1,5,"Service, ambiance, food, and drinks are all great! Absolutely love the rock shrimp, wagyu beef roll, Bees Knees cocktail, and lychee martini. This is my go to restaurant for sushi in Charlottesville. The fish is always very fresh and the presentation is on point. Great date night spot and impeccable vibes (more of a NY, Miami vibe).",34,76,view review
Sakeena A.,16/02/21,,,,5,Love! Been coming here for years. Their food and cocktails are amazing. I do wish there were more vegan and vegetarian options. Specifically veggie options with protein. There's a lot that can be done with tofu! Please consider it.,7,,view review
Rachel M.,26/02/21,,,1,5,"Quality stuff. Best rock shrimp I have ever had! The also give you two different flavors of it, one more spicy than the other and even reasonably priced compared to other rock shrimps I've had that were not as good. For entrees, I got the dragon roll and the negi toro roll. You can tell the fish is very good quality and I especially enjoyed the eel in the dragon roll. My dad enjoyed his chirashi as well but was complaining about the dim lighting and even had to use a flashlight to eat his food! Other than that, everything was great.",80,9,view review
Breeann S.,18/04/21,1,,,5,"Soooo good! I will deff be coming back. Service was great and food was INCREDIBLE! We went on a Saturday evening and they were pretty booked, so make a reservation if you can.",2,,view review
Joe L.,26/04/21,1,,,5,"A modern japanese cuisine staple located at the downtown mall in Charlottesville, VA. I highly recommend the hirami miso, udon noodles and the lobster tempura.

The atmosphere is classic and timeless, and I've been coming here for over 10 years. The quality consitancy of the items featured on thier menu is what keeps me coming back. 

Some of the servers may not be as attentive as others however, I understand Ten is getting back into their groove after challenges due to covid.",63,,view review
Anna H.,8/5/21,,,1,5,"Ten is a hidden gem at the Downtown Mall. The food and service is always impeccable every time I visit. My personal favorites are the rock shrimp, soft shell crab roll, and Wagyu beef roll. The rock shrimp comes in two different sauces and they are both very flavorful. The soft shell crab roll is also really crispy and pretty large in size. The Wagyu beef roll has a soft texture to it and has good seasoning. The drink menu is also pretty decent. It's definitely quality over quantity here but the experience is worth it imo. The atmosphere gives me lowkey NYC vibes. It's romantic and it's perfect for date night or a girls night out. It does get a little dark though, especially if you're eating later in the day. I recommend getting a reservation here ahead of time, especially since the space is pretty small and with COVID restrictions it fills up pretty fast.",39,108,view review
Bob H.,26/05/21,,,,1,Had reservations (party of 3). Given the worst table in the place. Unwilling to relocate the table to a better location (open tables all over).,33,,view review
Ann C.,27/05/21,,,,4,"I went tonight for the first time and had a great experience!! Every single dish we got was absolutely incredible (rock shrimp, dumplings, avocado tempura, shrimp tempura roll, wagyu steak, chocolate cake.) it was all absolutely delish and we left extremely satisfied. The vibe and ambiance of the restaurant is great as well. The only area where they lack is the service. Our waiter was not attentive at all and you could tell she didn't exactly want to be there. Our drinks were not kept full either. Other than that it was a 10/10. I will definitely be back to try more items on the menu!",11,233,view review
Phil D.,29/05/21,,,,3,"Sushi in Charlottesville 
Nice flavors
Excellent curbside service
Portions were an nice average helping
Gyoza we're nice
Fresh fish",343,1,view review
Rachelle S.,30/05/21,3,,3,5,Really great sushi here along with great service and a great ambiance! Great combinations and really great quality. Visited Charlottesville and came here for dinner - definitely recommended!,54,32,view review
Jessica B.,1/6/21,,,1,5,"I went on my birthday last week, and this place was phenomenal, both the food and the service. Best rainbow roll I've ever had ... so good that we ordered another one. The server was on top of things, and our drinks never got low. He even brought out a birthday dessert with a candle at the end. It was such a lovely experience. The ambience is dark and modern, and I loved it. I can't speak to one negative thing about our experience here.",141,12,view review
Brooke W.,15/06/21,,,1,5,"BEST SUSHI WE""VE HAD: My wife and I visited Charlottesville to get married and went here the night before our wedding. It was intimate, low lighting, soft music and had a great ambiance. They even brought us a glass of champagne on the house to celebrate our marriage!


We ordered the
1.)Aka Dashi Miso (Red miso, tofu, nameko mushroom, and scallion) this was very good but a little salty for our taste
2.)Maguro Karai Honey Roll(tuna, scallion, spicy honey sauce) delicious!
3.)Spicy Toro Roll(chu toro, avo, pickled jalapeno, crunch, spicy sauces, tobiko.) This wasn't too spicy but had a good bite to it.
4.)Dragon Roll (fresh water eel, tamago, avocado, shisho) had avocado on top and had a drizzle of sauce over it which was sweet and made it all come together.
5.)Shitake Roll- This was very flavorful
All rolls came with Wasabi that was packed full of flavor and spice. Best Wasabi I've ever tasted!

Drink Recommendations:
We have never tried Sake before but tried the

Sake Flight: House Flight. ""Living Jewel"" ""Water Flower"" ""Soaring Clouds"". This was delicious and would recommend anyone try this!

Martinis:
-Bee's Knees (Chamomile infused gin, honey, lemon) This was light but had the punch of the gin and bitterness from the lemon. SO good. This was our favorite

-Ten Martini (tito's sake, aloe) This was very light but so refreshing!",9,,view review
Trisha H.,19/07/21,,,,4,"Had a very nice dinner here for my birthday. The food was great! We got seaweed salad and a few sushi rolls. Our waiter was friendly and attentive. He also helped me with choosing some Sake that was to my liking. My one main issue was the location we were seated. We were on one side of a divided room looking at the sushi bar but this was during COVID so there was nothing to see and we felt very separate from the whole restaurant. Plus, the music was really eclectic and odd. The ambiance was a bit off for us and we wished we had been seated on the other side where most of the other patrons were.",673,62,view review
stacy R.,2/8/21,,,,3,"Sushi is good, service was good. The atmosphere is really nice although it's a little too dark. A very nice spot overlooking the downtown mall. I would say the atmosphere is what makes this place most desirable. 
I probably would not go back because it is  overpriced.",61,161,view review
Brittain M.,19/08/21,,,1,3,Pretty good sushi for Charlottesville but that's not saying much. There were much better sushi options when we lived in Raleigh Durham. We also live part time in NY so I'm probably a pretty harsh critic. The rolls were good and Omakase fish was fresh. I couldn't figure out why the sushi rice was cold though...so odd. The mark of good sushi is the rice. Restaurant is super dark as others have mentioned.,87,39,view review
Jennifer M.,4/9/21,1,,,4,"Ten is a cute upstairs spot on the downtown mall.  Nice atmosphere and great for a date night.  It is pricey so be prepared.  We don't go there very often because of this.  The tempura lobster and rock shrimp are out of this world.  I was pretty much full after those.  The portions are good for sharing.  My husband has the rainbow roll and the kani roll and said both were delicious.  We also got the harmari trio.  The meat was a little chewy but the flavors were good. I also ordered the Ten salad and could have done without it.  It's huge. I did not like it.  The lettuce is fresh but it's heavy on something that just was overpowering in taste.  I don't know if it was mint or some kind of herb but I couldn't eat it.  The pineapple martini was good.  I also had a dirty martini that was good. Husband had Jack and coke.  No complaints.  

The bathrooms are down a dark hallway and I mean dark.  If you have vision problems bring a flashlight. There's a staircase off to the side that's hard to see and I could see someone accidentally falling down if they turned the wrong way.  

Our waitress and the other staff were great.  And we got to see the UVA marching band go by as our table overlooked the downtown mall which I liked.",165,26,view review
Caroline S.,2/10/21,,,1,5,"Best service we have received in a long time! It was my birthday and we were coming in from out of town; because of that, the host worked really hard to fit us in. The food and drinks were amazing too!",11,,view review
Shekina M.,3/10/21,2,,,4,"Had a great experience at Ten! Our server, Hannah, was great - funny, attentive, and a good converser!

I didn't expect to like the Wagyu Beef roll as much as I did, granted it's not actually a ""sushi"" roll, but it was seriously amazing!! All the other rolls we had that night were also really spot on ... combinations of flavors were amazing.

Also really loved the Bee's Knees cocktail - perfect blend of honey and lemon. I want to come back just for this drink!! I absolutely loved it!",15,401,view review
Simeng H.,13/10/21,,,2,3,"Ten would have simply been an overpriced Jap food place had I not the expectation that I could find some decent sushi here. Their idea of a 20-piece omakase is a 10-piece assortment but you get two of each instead of just one, and all of which were served in a huge plate at once. By the end everything was already cold (and they weren't particularly warm to begin with). The dim light didn't help, either. Later, I asked for a tamago sushi to finish off my meal, and the tamago was ice-cold and that's how you can tell that they are really using the same frozen stuff you'd find in the sushi section in a grocery store, makes one wonder if the same goes for other things in their menu. 
The one redeeming factor was that the service was pretty good. My waitress was really sweet and made sure I had everything I needed, but the food was, for the most part, a disaster, and no amount of good service can really make up for that.",2,46,view review
Don W.,29/11/21,,,,4,"Ate here again since the pandemic... Made a reservation at 5:00 to sit at the sushi bar, which was our preference. Place filled up shortly thereafter. Sushi was very good and presentation likewise good. For a self-professed high-end sushi bar, I was expecting a bit more personal interaction when ordering Omakase, but it didn't happen. Nevertheless, a very good dining experience and good sushi.",65,,view review
Paola P.,12/12/21,1,,,5,"Came here last minute on a Saturday and was able to be seated at the bar. I encourage to make reservations in advance because you may not be as lucky to find spots at the bar. 

During the holiday season they are offering a holiday drink specialty cocktails which seemed to be an popular request of the night. 

Unfortunately, they were out of the rock shrimp tempura and hotate roll, which were both dishes I was eager to try. Must have been popular dishes so I want to go again and see what they are all about. That didn't prevent me from enjoying my meal however. 

I went ahead and ordered my udon soup, warm with a savory Japanese soy broth, and lobster tempura, covered in a sweet aioli, for my starters. For my main I ordered the soft shell crab roll which was very distinct in that I had never tried anything like it before. It's a warm roll that is served in 4 pieces. I believe the shiso, a Japanese herb, is what granted its refreshing flavor. The other roll I ordered was the tiger roll. 

The service was very quick and attentive as they understood my needs and expectations. Considering I was sitting at a bar, and lacked reservations, I was impressed.",77,12,view review
Victoria M.,2/1/22,,,,5,"I really love Ten! I don't come here very often because it's definitely a high-end sushi spot, but I really enjoy it when I do. 

The ambiance and service is great. The quality of sushi is fantastic. The sushi combinations are unique. 

We ordered the:
Lychee Martini - 10/10 (super yummy)
Green Tea - 10/10 

Maguro Karai honey roll - 7/10 (it was very tasty just a bit too spicy for me)
Ebi Tempura - 8/10 
Stella blue crab roll - 7/10 (I don't like this roll, but my fiancé and sister rated it)
Wagyu beef roll - 10/10 (this is my absolute favorite roll here!)
Rainbow roll - 9/10
Dragon roll - 6.5/10 (this roll was disappointing because I usually really enjoy dragon rolls, but their version is bit too leafy)
Negi Toro - 9.5/10 (this is amazing)
Oh Toro sashimi - 10/10 (melt in your mouth amazing!)",126,234,view review
Isabella M.,10/1/22,1,,2,5,"TEN out of five stars, for sure! Is this why they named their restaurant so? hehe

ELEGANCE.

Imagine walking up a flight of styled stairs that lead to a dim-lighted restaurant with a sushi bar, exposing all their fresh products. Royalty, much? 

FRESHNESS.

We ordered their toro sashimi and it MELTED into your mouth. Literally the best! We then ordered several rolls: Maguro Karai honey, Ebi tempura, Stella blue crab, Wagyu beef, Rainbow, Dragon, Negi Toro. My all-time favorites I highly-suggest you to order is the Negi Toro and Wagyu Beef. If you are a sPiCy person, Maguro Karai honey will do you some justice too! My least favorite was the dragon roll as it had an odd texture. 

We also tried their lychee martini which was a perfect blend of sweetness and bitter. I do typically order this in any Japanese restaurant because I love lychee and fish combos; although, Ten had the best by-far. Normally, the bartender makes the drink TOO sweet but this person did it perfectly right. 

 SWIFT. 

Not only are their plates high-quality, but they also do not make you wait FOREVERRRRR. Their service is quite speedy!

Next time I'm in town, I will have to make Ten a priority stop again!!!",132,27,view review
Krista R.,19/01/22,,,,5,"I was hesitant to come here only because I am not a big fan of raw fish. I mustard up the courage to go and boy I was in HEAVEN. I started up my dinner with a Kyuri sakitni. It was so refreshing cucumber vodka drink. Great way to start of the palate. I then ordered the lobster roll which did not disappoint. It's not what I was expecting at first but as soon as the first bite hit my mouth I was sold. It has such a sweet and spicy taste to it. The lobster was amazing in itself. I then ordered the wagyu beef roll. Again not know what to expect but the flavors of the marinade are perfect. The beef just almost dissolves on in your mouth. The avocado and lettuce in the roll topped with the beef was exactly what I needed and didn't know it. I was seriously having an orgasm  in my mouth. I know most people would not even consider this sushi but in my book it is. I def want to come back and try more. As for the ambience it was great for a date night or outing with the girls, but the music is a tad to loud for an empty place. 10/10 highly recommend. I won't be hesitating to come here again or order again.",247,352,view review
Buddy G.,26/01/22,,,3,2,"Was very excited to finally make it here last night after hearing many times it's the only good sushi place in Cville 

The atmosphere is very cool. High end vibe for sure. Service was great. Good sake selection. 

Felt like it was going to be a great night when we sat down and started looking over the menu. 

Unfortunately the sushi itself did not live up to the promise of the restaurant design. 

It is simply not good. It's not awful. I've had worse, but nowhere near the level of what good sushi should taste like. 

The Toro tasted old and it was room temperature. Yuck. Other rolls had that ""fishy"" taste that signals the fish is too old or has not been cared for properly in the case. 

Should have seen this coming as I saw other rolls they were placing on the counter get hot beef dumped on top of them. That's a big red flag that this is more about the idea of cool sushi and not delivering actual high quality sushi. 

If you like a cool spot to come with your friends with a high end vibe this is your place. 

If you want to eat good sushi drive to Richmond. Sorry.",38,7,view review
Kirsten A.,16/03/22,,,4,3,"I was so excited to go back to Ten and write a five star review. I was kind of shocked to see the lower reviews--we went once in early 2021 and had a great time. But now I get it after coming here for my birthday dinner. 

The restaurant wasn't particularly crowded when we got there (~6:30) but definitely filled up by the time we left (~8:30). The server took a few minutes to get to us but promptly took our drink order, but that's where the promptness ended. It took about 20 minutes to get our first drinks. I ordered a sake flight and my husband ordered a beer. We also ordered some edamame. All three came out around the same time. The server came by to check on us and noticed we were low on water. He promised to refill but seemingly forgot, but came back to take our order. They were out of some of the non-sushi options we wanted to try so we decided to just do three sushi rolls: rainbow,sake, and tuna avocado. The server offered my husband another drink it was brought out before our food. When that came out I asked for a glass of sparkling wine. Our food came, we ate it, and 40 minutes later I still didn't have any sparkling wine. It was finally brought just before dessert. The server did take it off the bill, which was kind. But going the entire meal without a drink OR even water was kind of crazy for a place as high priced as Ten. They did give me a great dessert for my birthday which I appreciated but at that point the experience had been a little soured.  The sushi was decent, but not so amazing to overcome the poor service experience. I know everyone in the service industry is understaffed, but please at the very least bring me water! We probably would have ordered more if not for knowing it might take another 45 minutes to get more food or drinks. 

I might give ten another go at some point, but for my 30th next year I'll definitely choose another restaurant.",179,535,view review
Collin C.,28/03/22,1,,,5,"Exceptional Sushi, and enjoyable atmosphere. I really enjoyed dining at Ten and highly recommend others to go as well. This is the best sushi place in Charlottesville.",3,,view review
Hunter S.,9/4/22,,,,5,"One of the most unique dining experiences I've had in Cville. Ten offers a very cozy dining experience with unique lighting and a beautiful interior that's an experience by itself. Wait staff check in often as you are encouraged to share the small-plate foods and order as you go. Truly some of the best sushi I've had in town and the presentation and experience was delightful. A great place for a special occasion, I look forward to stopping by again sometime.",31,7,view review
Aubrey W.,22/04/22,,,1,5,"I've been told ever since I moved to Charlottesville that Ten is incredible, and my expectations were extremely high. Let me tell you, nothing disappointed. The ambiance was amazing, the drinks were strong and delicious, and the food was absolutely mouth watering. They operate in a small plates/ tapas style, so you can place orders at any time and they come out as soon as they are ready. We started with the Tori trio, which was three chicken skewers charred to perfection, topped with unique sauces. My favorite was the spicy honey, which was sweet with just a small kick of heat at the end of the bite. Next, we tried a few rolls: the Ebi Tempura, the Japanese Wagu Beef, and the Soft Shell Crab. All three were delicious, but I recommend the soft shell crab roll the most: the crab was crunchy and super fresh. You also have to try the Wagu Beef in some form. They serve it many ways, but it was super rich, tender, and covered in a delicious teriyaki sauce. Next, we ordered the Ten Hamachi. If you order anything here, order this. The yellowtail absolutely melts in your mouth, and is accompanied by a luxurious ponzu butter sauce. I also tried the Lychee martini, which was a delicious (very strong) play on a bar classic. Last, we got the green tea mochi for dessert. The ice cream was silky, and so addictive. Overall, this was a phenomenal experience. I would recommend getting a reservation because the location is fairly small, and Ten sushi is not one you want to miss!",168,27,view review
Victoria B.,12/5/22,,,,2,"Terrible dining experience. 
We arrived on time for our reservation. Upon arrival, the hostess informed us that our table was not available yet, and every table was occupied. So, we waited. When a party left, the hostess had to run and make multiple trips to clear all the food, wipe the table down, and set new plates. And whenever new diners would come in, she would have to stop this process to greet them. At this point, there were multiple parties standing and waiting. So after almost 30 minutes, she was able to walk us to our table. We were starving by this point, and it took almost 15 minutes to be greeted by our server. Then, our drinks took over 20 minutes to arrive. 
I am giving 2 stars because the food and drinks were decent quality, and the staff we interacted with were kind and apologetic, but the organization of this restaurant is awful. This place is a nightmare and I do not recommend it.",1,,view review
Lauren S.,26/05/22,1,,,5,"The inside area was very calming and had low lightening. The bathrooms and whole inside dining area were so nice. The pomegranate drink was so tasty and the udon soup was delicious!! The thick noodles and the broth was top notch. The Wagyu beef was not great, the taste was eh and the beef was really chewy. The shrimp was good and spicy and had a lot of meat to them. The sushi was mediocre, I was expecting a lot more out of the sushi but it wasn't bad. The Mochi ice cream was a great desert and refreshing.",70,6,view review
Keith N.,1/6/22,,,2,3,"This was disappointing....looks fancy and delicious but this is deceiving. We ordered four things: Ten, Rock Shrimp, Harami Trio, and the Miso Sea Bass. I'll start with the good: the sea bass was great--cooked perfectly, tasty broth. This is the reason I give it 3 stars. The shrimp was okay--not great, just average. Now for the not so good: the harami was very disappointing--it was so chewy it was difficult to eat. It might have been overcooked or just a very poor cut of meat. Either way, it was unpleasant. Finally, the ten (their signature salad) was simply gross. The greens were wilting and some had actually turned bad. We were baffled how they could serve this. We asked them to take it off the tab and they did. Everyone deserves a second chance so we might return to try something different. However, I sure hope they provide a better experience if we decide to come back.",10,45,view review
Stacy C.,3/6/22,,,1,2,"I don't understand how this place has great reviews. The fish is... fine. Not a notable quality difference from a strip mall sushi place. The menu tries to make things sound better than they really are. Chili crisp? Sounds great! Tastes bland. Eel roll with Japanese peppercorn? Sounds great! Tastes like any other eel roll I've ever had. The hamachi with ponzu butter? You can only taste butter and no other flavors (including the fish). So, mediocre food. Service was pleasant but SLOOOOOW. Waited 15 minutes for drinks, had to chase someone down for the check. One of the chefs had a shirt on that said ""I hate it here."" Could be a hipster thing but it actually seemed to capture the mood of the waitstaff. A lot of this could be forgivable in a cheap sushi joint. Absolutely inexcusable for a high end place. Save your money and go someplace else.",13,2,view review
David P.,26/06/22,1,,,5,"After reading the reviews we decided to have dinner at Ten.  I can honestly say the sushi was delicious.  The sushi did take a while to arrive but it was worth the wait.  I will be going back to Ten for one of the specialty cocktails and toro sushi rolls. 
If you haven't tired wagyu beef tenderloin before this is the place.  It is served on a 500 degree hot stone.",1,,view review
Dominic B.,17/07/22,,,,5,"Walk into a small door and up an enchanting set of stairs to enter the sushi restaurant of your dreams. An expirence, partitioned into dining scenes mirroring the night sky, clouds, and beautiful waterfalls. The severs are just as wonderful as the ambience; a calm feel sparkles in the green tea. The appetizers are wonderful and the meals are wonderful. To top it off, tasty light mochi to end it off, and you have the ingredients for a perfect night. TEN out of Ten.  (P.S. Shout out Allison! Best server ever!!)",1,,view review
Jen S.,1/8/22,2,1,2,5,"You'll find this great date night spot in the downtown mall above the Fitzroy. With its dim lite setting and cathedral ceilings, you feel as though you're in a big city with big city decor. The building itself is historic and you are greeted by the host at the top of the romantically lite stairwell. We were lucky to get a booth on a Saturday night but there is a bar also and tables by the window looking down onto the downtown mall. It did take a bit for us to be greeted at our table but we had a great server. We ordered avocado rolls, House Saki flight, edamame, and loved everything!",269,236,view review
