Author,Date,Cool,Funny,Useful,Rating,Message,Author Reviews,Author Friends,Author ID
Samuel B.,3/7/23 19:44,0,0,0,0,4,"I went here for the first time not knowing what to expect. The service was nothing short of fantastic! Waiters were great and the restaurant itself had beautiful architecture. Our appetizers were delicious, definitely the best appetizers I have ever had at any restaurant. The only reason I am giving Orzo four starts is due to the lamb. I love lamb and was excited to try the dish. Unfortunately it lacked some crucial components to some of the flavors it was trying to present. Perhaps the appetizers set the bar too high...but with a bit more touch of love, the entree would have been great. Definitely would comeback!",21,1
Kristen S.,3/11/23 16:53,2,0,0,1,3,"Mayne 3.5 but I wasn't impressed. I saw this place referenced in some.bligs and the star rating seemed good so I gave it a try. It's a nice looking place and would be perfect for a night out. Service was very friendly and helpful. However, the items I got were not good. I started w the sangria of the day. I've had sangria in my home state and in Spain and this tasted like red wine w club soda. Wasn't tasty at all. I got the half baguette w the bolognese pasta. This isn't the only establishment I've been to thay foes this but I'll never understand places that charge close to $30+ for pasta and give a small portion so that was off putting. The pasta was good but I've had better. Maybe it was the items I ordered and maybe they had better things but I honestly wasn't impressed and I wouldn't recommend.",743,383
Jess L.,3/17/23 18:25,0,0,0,2,5,"I've been here a few times and it's always a great experience. The food is always fresh, and I love how every time I come back there's something new! The drinks are amazing, and the hummus is one of my favorites! I got the spring orecchiette! The octopus in it was so tender, and I was so impressed with the flavor. The other bowl in the picture is the peasant beef bolognese, which is one of their classics and always a great choice.",8,149
Justin N.,3/18/23 16:48,0,0,0,0,4,"Peasant Beef & Pork Bolognese and the Lamb Shank were so good. The lamb was super flavorful and falling off the bone. The Prosciutto Bruschetta is also good. But I'm not a fan of the inside of the restaurant. The lighting is not good, and the wood is outdated. Made a reservation and came here on a date, and we were sat at an uncomfortable wooden corner booth.",372,109
Mark H.,4/4/23 19:16,0,0,0,0,2,"We're not from Charlottesville, but we've been to Orzo numerous times. Never had a complaint about the food. It's always been very tasty -- well-prepared, properly seasoned, and hot. The bruschetta appetizer is especially delicious. I get it every time. But something was different about this last visit. We arrived 12 minutes early for our 7:30 reservation, and were told quite firmly that we would be seated no earlier than 7:30. Ok, not a problem. So we sat at the completely empty bar to wait the 12 minutes. The host then offered my wife a menu, which she declined. The host then said it won't get us seated any faster. Really? Why are you treating us like we did something wrong? It's not like we were 12 minutes LATE for the reservation. Thank you but we can do without the attitude. Once seated, we decided to order our appetizers while we decided on the entrees. The waiter told us we couldn't do that. He said we had to order everything at the same time. Seriously? In decades of dining out, I've never had that happen before. While the food is excellent, we prefer to dine somewhere where we feel welcome. There are way too many excellent restaurants in the Charlottesville area to be treated this way. We won't be back.",85,10
S C.,4/22/23 13:06,0,0,0,0,5,"Orzo is consistently excellent.  The special menu featured from world cuisines changes from time to time which is nice, offering interesting and absolutely delicious food.  The regular menu is also fine cuisine.  I have been going to Orzo for years and have never been disappointed!!  :-)",16,0
Teagan R.,5/5/23 18:42,0,0,0,0,5,I had a great experience here the atmosphere was great and what you would expect for a more upscale restaurant. The prices were moderate but the food quality was good for what you paid for. My server was very knowledgeable and helpful in picking out a dish. The food came out in about 20 minutes and tasted great. I got the Bolognese Pasta and it cleared the plate! I also got the flan for dessert and it was tasted good as well. Other people in my group got the steak and said it was really delicious.,13,1
Martha C.,5/29/23 2:29,0,0,0,0,5,"Just returned from a most fantastic meal!!
Chose Orzo based on reviews and because we love Italian. 

My husband had the pork tenderloin and I had Pasta Bolognese. Both fabulous! We each had the zucchini salad which we loved. It was different, fresh and flavorful with an unbelievable dressing. Desert was an incredibly delicious olive oil cake with lemon curd. 
Our cocktails were fantastic and the service was impeccable. Glenda, our server, made the night very special. We live out of town but if not, Orzo would become our go to restaurants.",2,0
Sarah H.,6/5/23 14:43,0,0,0,0,5,"Could not have asked for a more perfect place to host a dinner for my bachelorette party! Orzo went above and beyond making me and my guests feel special, and my guests could not stop raving about the food! The 5-star service began with Orzo allowing me to create a 3-course pre-fixe menu to help alleviate the stress of trying to split a bill between 12 people. They even printed the menus as placecards and allowed me to customize the heading, which was such a special touch. Our group was seated in a private loft area which made the dinner so intimate and special. Service was amazing, friendly, and attentive, which just added to making the night so special. The food was spectacular, and every single person was amazed at the quality--even the pickiest eaters loved their meals! Could not recommend Orzo more--they blew us all away. 

Thank you Orzo for making my night so special and memorable!",225,375
Stewart L.,6/5/23 15:06,0,0,0,0,4,"What a nice restaurant. Really felt like a local hang out. Many tables talked with the staff like they knew them. Staff was excellent and we had a table where we could watch the food prepared. Beet Dip was excellent. Zucchini Salad sounds boring but was refreshing and hydrating and tasty. We had two pastas both excellent. Just the right size. Excellent. Tiramisu was great. Not too sweet; not too boozy; not too mushy. Just right. 

Definitely recommend.",73,8
John K.,6/9/23 21:29,0,0,0,0,5,"I ordered takeout steak, bolognese, risotto, and halloumi.

The steak dish was fantastic. Really good flavor and seasoning. Each component complemented the others. Everything was cooked just right. The polenta was particularly tantalizing.

The bolognese was good, but it wasn't much different from what I might make at home.

The risotto was very flavorful but it lacked creaminess.

The halloumi was fantastic. It went well with the bread, sauce, and tomatoes. Absolutely divine.",157,0
Mike A.,6/21/23 0:36,0,0,0,0,5,"Nice downtown vibe.  Inviting atmosphere.  Open kitchen. Decent wine list (100% markup) - nice to find a Ken Wright Willamette Valley 2020 Pinot.  Salads - fresh greens with best ever dressing, and Caesar were excellent.  Pasta Promodoro was very fresh and delicious; could not have been better. Southern Italy Risotto Primavera was a complexity of flavors dominated by an abundance of shaved garlic and lemon zest - best for garlic lovers. Marissa, our server, was perfect.",89,3
Charlotte T.,7/6/23 1:01,0,0,0,0,3,Great little restaurant zucchini salad was great... cannot recommend the steak ...ordered rare waited an incredible long time and served a hard puck.  Oh well attitude. Wait staff appeared clueless as to how to resolve..only after 20 minutes management decided to step in and prepare a new steak hated having to insist. Could hear chief grousing about it... recommend ordering something else.,2,12
Henry C.,7/29/23 13:46,0,0,0,0,5,"Consistently good food. Friendly, knowledgeable server that made informed recommendations for wine pairing.  Spouse almost always orders a pasta dish and raves.  Turkish coffee rubbed lamb was spectacular.  Pleasantly busy so a bit noisy, but still just dependably pleasant",24,0
Sunny H.,7/31/23 15:04,0,0,0,1,3,"The food is food and I appreciate the nonstandard menu. I ordered the Go Fig or Go home mocktail, primarily because there was fig in it but I did not detect any fig flavor. It was still tasty though like a refreshing fizzy water, but not fig water. My recommendation to the restaurant when making this mocktail, however, is to please stir the drink before serving it or suggest the patron stir it. When I took my first couple sips, all I tasted was bland soda water. It wasn't until I stirred the drink several times when I finally tasted what I think it was supposed to taste like.

I had the Shawarma Spiced Grilled Fish of the Night which was swordfish. That was done very nicely since swordfish tends to be a bit of a dense fish. It wasn't dry at all and the rub they used was delicious. I don't like fish (only ordered it because I thought it'd be a healthy choice, but I liked this dish.  I also enjoyed the sweet potato that came with it. The sweet potatoes are a few thick round slices of sweet potato that were naturally sweet. I could have done without the beet tzatziki though. I think it was the color (pink like pepto bismol). It made sense that it was pink because tzatziki is white and beets are a dark red, but still, the color looked very unnatural. 

I can see why the Peasant Beef & Pork Bolognese is ordered often. It was quite good, and the portion size was just right.

The ambiance was a bit distracting. The restaurant  inside what looked like what used to be a hangar or warehouse, so when you look up, instead of seeing a ceiling, you see a curved metal roof. There is an open kitchen concept but perhaps a bit too open for me, as if the team was cooking feet away from you in the same room but not in a kitchen. The lighting could also be better. It was a bit too dim/dark, and the dark colored wood furnishings did not help.

I found the service distracting as well. Our server placed two small plates in front of us (presumably for our appetizers). Shortly thereafter, another server came up to ours and whispered to him with a disapproving facial expression and pointed to our table. This exchange occurred directly in front of me. The other server then removed those two plates without comment. I expected a ""pardon my reach"" or ""excuse me"" or ""I'm sorry, these plates were not supposed to be placed on your table."" Also, two different people brought our food to the table. Each person had a ""I'd much rather be somewhere else"" or ""this is such a chore"" expression on their faces.

Outdoor seating is available though it didn't look like there was much a view for outdoor dining ambiance. There's a busy street in front and orange construction barriers line the outside dining border.",357,3
Natalie K.,8/19/23 21:30,0,0,0,0,5,"Super yummy food, very friendly and helpful staff, and super cozy ambiance. Would absolutely eat here again!!",4,0
Andy C.,8/20/23 19:12,0,0,0,0,5,Amazing dinner with our family right before a wedding.  Service was great and the food phenomenal.  We liked one dish so much we asked for the recipe and they gave it to us.  How nice is that?,1,0
Tami W.,8/29/23 17:11,0,0,0,0,5,Wow. I will be coming back next time I'm in Charlottesville. Zucchini salad was amazing and my pasta dish was fantastic. I ate outdoors and enjoyed wine while people watching.,8,0
Gina S.,8/31/23 14:24,0,0,0,0,4,"We went to Orzo for the 1st time (there will be a 2nd!) last night. The service was spot on (thank you Todd!) and I LOVED my Summer Risotto! So flavorful. My partner wasnt blown away by his bouillabase (altho he ate every bite) hence the 4 not 5 stars but the atmosphere, the food, the service were 5s in my opinion. I look forward to going back soon.
Note: as a pescatarian I struggle to find a restaurant that serves flavor and doesnt phone in the vegetarian option(s). Orzo didnt dial in anything. They were attentive but not smothering, the food was fresh and flavorful, and the seating was comfortable and not cramped. Excited to have found Orzo!",7,0
Dave G.,9/3/23 23:11,0,0,0,0,5,"Amazing food, great service, wonderful atmosphere! The food was by far the best I've had and the ingredients were very fresh.",9,0
Guilherme B.,9/9/23 20:59,0,0,0,0,2,"It's completely truthful to point it out to Orzo Kitchen & Wine Bar as a great spot for dinner however I must say that I wasn't impressed with the food nor the ambiance. In the other hand, I must admit to myself that the service was immaculate and on point. A great spot for cocktails and wine, however for dining experience, I'd explore more of the Charlottesville Downtown Mall before going over or above Main Street, also know as the 'restaurant street' if the town.",9,0
Jen Y.,9/15/23 14:49,0,0,0,0,1,"My partner and I went there last night for dinner, and we ended up having to go elsewhere right after. The steak was questionably cooked (most of it seemed raw), the pasta noodles were not fully cooked, and overall did not taste good. We ended up eating only half of our dishes. The bartender was great, and the drinks we had were decent. I ended up paying $100 for a meal that was extremely difficult to eat. I declined to discuss it with anyone that worked there as it was fairly busy, and the waitstaff were not exactly attentive to us (besides the bartender). My partner suggested that we try it again later on, but I reached out to a few friends about this, and they've all had a similar experience specifically with the food in the past year or so. Definitely will not be returning.",1,0
Christopher M.,10/8/23 2:23,0,0,0,0,2,"Went to Orzo tonight for the first time with hope for a tasty evening but we were disappointed. The front of house staff was great and welcoming, very attentive. However, the food was a big let down. I had the mussels which were under seasoned and overcooked, which I kept eating until I had a truly bad one that was fishy and certainly not fresh. I also had the duck fat potatoes which were fine but not crispy the way duck fat cooked potatoes should be. What is the point of the duck fat if not done properly?!  My wife had the bolognese and her pasta was undercooked. Not just Al dente but undercooked (hard). The sauce was one note and underwhelming. On a positive note, the wine and glassware was excellent.",1,0
Robert W.,10/15/23 2:29,0,0,0,0,5,"What an amazing dinner! The salmon tartare, wine braised lamb and peppercorn sirloin were off the chain; this is a kitchen with a real chef. Wine list is solid. 
Our waiter Will had such a great vibe and the owner, Ken, was not only engaging with the guests (including us) but also bussing tables. It felt like everyone on staff enjoyed working there and this made the whole evening a special treat.
Definitely worth a visit; it will be an evening to remember.",34,0
Kathy C.,11/12/23 23:42,0,0,0,0,5,"Food selection excellent!
All starters and entrees exceeded our expectations!
Good wine selection!
Servers knowledgeable re menu!
I don't live in the area, but want to make a trip back to Orzo's!!!
Atmosphere was industrial chic w canvases adorning the walls were of the Italian hillside   
My advice: make a trip to Charlottesville to have dinner at Orzo's!",16,50
Jessica M.,11/21/23 16:50,0,0,0,0,4,Very good food and service. We started with the mussels and they were so good. I ordered the pesto mushroom pasta and my husband had the lamb. He liked it a lot but wished it came with more gnocchi-there were only a handful.,89,0
Rex H.,12/10/23 20:10,0,0,0,0,5,"This place was soooooo good
Had the lamb melt in your mouth
Liked it so much heading there again tonight 
Wine offering matched perfectly with the lamb listen to the wait staff they know they are doing",25,0
Lindsay J.,1/11/24 16:22,0,0,0,0,5,"Cane here for a wedding rehearsal dinner. Food, service, ambiance all excellent. Would definitely return to try a la carte menu!",77,2
Joyce G.,1/19/24 0:28,0,0,0,0,5,Great service and ambience. The food was so delicious. Had the lamb shanks and my partner had steak with peppercorn sauce. Both were amazing. Generous portions as well. Too generous as I couldn't get myself to leave any in the plate!!,10,7
Michael H.,1/24/24 22:10,0,0,0,0,4,Great Italian dinner. Great decor and Great wines. Great service. I have been there twice and enjoyed each visit!,93,41
Chat C.,2/3/24 14:01,0,0,0,0,5,"First of all, we made a reservation for restaurant week. We were sat pretty fast upon arrival, water on our table, and waitress was ready to take our order when we were ready. Ambiance was date night vibes for my wife and I. Good first impression. 

Better impression: appetizers comes out within 5-10 mins after being ordered, in a packed-from-the-back-to-front of restaurant. Classic Minestrone Soup? Delicious. 18 Month Prosciutto di Parma Bruschetta? Freakin better than any bruschetta I've had in the past 2 years. 

Entrees were what stood out to me. 

Spaghetti pomodoro was just perfect. Balanced. Frequent hits of Basil touched the palate. Banger dish. 

Grilled Marinated Pork Tenderloin with whatever the hell dried cherry mostardo is (later I found out it's basically fruit and mustard), delicious. Oh and there's a hidden layer of smoked aioli. SMOKED AIOLI freakin smacked me in the face. The entire plate was cohesive af. 

Dessert. 
-Pot de creme: simple with two ingredients yet so so good. I'm going to attempt to recreate this at home. 
-Spanish Olive Oil & Rosemary Cake with the lemon curd. To die for. 

Bottom line: might be the best tasting restaurant I've been to in a long time, and that goes without saying I've been eating out on occasion.",166,333
Diana S.,3/12/24 16:57,0,0,0,0,5,"Food selection excellent!

All starters and entrees exceeded our expectations!

Good wine selection!

Servers knowledgeable re menu!

I don't live in the area, but want to make a trip back to Orzo's!!!

Atmosphere was industrial chic w canvases adorning the walls were of the Italian hillside

My advice: make a trip to Charlottesville to have dinner at Orzo's!",4,1
S. J.,3/14/24 18:42,0,0,0,0,5,Orzo Kitchen and Wine Bar remains one of the most outstanding restaurants in Charlottesville and area.  It is consistently delicious.  The service is impeccable.  It's great choice for any occasion.  I have never had anything on menu I didn't like....and that says a lot after all these years.,30,0
Renee P.,3/25/24 16:22,0,0,0,0,5,"Great service and ambiance! Bf and I wanted to try this place and overall had a good experience. Quality of food was amazing, but the only down side is that the portions seemed a bit small for the cost (but it was very filling!)

Prosciutto bruschetta: can't go wrong with this! Crunchy bread, good presentation, really flavorful

peasant beef and pork bolognese: great pasta texture and even spread of meat, flavorful, definitely my favorite of the night

grilled fish: happened to be salmon, which was super tender. came with some tomato slices and potato, which was a great add on. really delicious, but wish there was a bit more fish for the cost

riviera: me and bf thought it was okay, not too strong. warning that once it dilutes it tastes like cucumber water though!

sangria: bf and i both preferred this over the riviera. cant go wrong with wine bases. on the sweeter side.

lovely place for a date night or any fancier occasion!",18,39
F W.,4/6/24 1:41,0,0,0,0,3,"Our dinner at Orzo was okay. 

Service - 5/5
The waiting staff was attentive, helpful, and friendly. When our waiter was busy, others checked in regularly and offered refills and made sure we had what we needed. 

Food - 3/5
I enjoyed my appetizer. I had the seared halloumi. My partner had a Caesar salad. My entree was a bit of a letdown. I ordered the spaghetti Bolognese and, honestly, I was disappointed with what I got for the price point. The sauce was nothing spectacular. My partner's salmon was undercooked. It was okay in terms of flavor, but wasn't that impressive. I had a Riviera cocktail. It wasn't my favorite, but it was alright and refreshing. 

Price - 2/5
For what we got, I think the final check was a little steep. The food was just okay. We were expecting to spend about what we did, but we were expecting to enjoy it more. 

Ambiance - 3/5
We were seated very close to another couple, even though there were other tables that would've given us more space and privacy. The music and background noise drowned out the other conversation. Then again, we just talked as if they weren't there. Maybe they spoke less because we were right before them. 

Overall - 3/5
Would I go back? Yes, but with lowered expectations. I don't think I'll recommend it or choose it on my own. The service was great. The food was a letdown.",1,0
Mike P.,4/6/24 19:45,0,0,0,0,4,"Well done! Orzo's has lots of charm and class, yet somehow pulls off a relaxed and comfortable atmosphere.

Fresh bread to start and the super friendly staff started our visit on the right foot. The bartender kept our drinks full and was great all night.

Spaghetti was excellent, seasoned and sized perfectly.

The pork medallions were exceptional.

Great Choice for dinner!",150,2
Savannah D.,4/28/24 19:25,0,0,0,0,4,"Orzo Kitchen and Wine Bar earns 4-stars for its delightful service and welcoming ambience reminiscent of an Italian trattoria. The table shared, flavorful Halloumi garnished with roasted tomato and basil and the Lebanese Muhammara Dip (roasted red pepper & walnut) with za'atar flatbread, which stole the spotlight. 

For mains, they have a rotating menu of Mediterranean specialties, one if which was the Shawarma-Spiced Grilled Salmon paired with savory za'atar grilled sweet potatoes, creamy baba ghanoush, and tangy beet tzatziki. The Peasant Beef & Pork Bolognese, a cherished family recipe, added layers of taste and tradition to the meal. It's no surprise that this special has been on the menu for 20 years, as each bite exuded warmth and depth of flavor.",52,130
Dan K.,5/2/24 2:45,0,0,0,0,5,Two of us popped in on a Sunday evening for a bite.  Sat at the bar and had a wonderful meal at the bar which is our favorite place to sit in most restaurants.  Great food and service.  Perfect evening!,15,0
Emily L.,5/9/24 23:15,1,0,0,1,5,So amazing from staff to food. Very clean restaurant with nice seating. The olive oil is super authentic and the chicken with potatoes was so tasty. We came as a huge group but they were super organized. I wish I got to try some of their authentic Mediterranean but it was definitely a place to go. Nice outdoor seating available as well.,258,20
Jae C.,5/19/24 14:39,0,0,0,0,1,"I recently went to Orzo with my family and made a review describing my experience, and the reply from Orzo was ""I think you have the wrong restaurant"". I'm sorry, is Orzo not the unexciting Mediterranean restaurant on W. Main st.? The same restaurant that is too small to fit all of its guest so they open up the middle of the waiting room of Feast to sit their guests? Is this the same restaurant with only one working bathroom not situated inside of the restaurant? Is Orzo not the restaurant that offers chewy and utterly inedible steak? The only meal that fits right in is the Peasant Beef and Pork Bolognese, because I sure felt like a peasant eating here. Next time don't deflect and own up to your bad service so maybe people can have more of a tolerable time. Thank you Orzo for having an unwelcoming and quite nasty atmosphere giving me my final reason to write this review.",1,0
Amy D.,6/26/24 13:14,0,0,0,0,3,"Meh. We were at another restaurant having drinks and decided to hoof it over here bc the pasta was supposed to be amazing... We will never know. Sat at the bar and ordered a glass of rosé, which was sensational btw, but when we first sat down the bartender was pretty short. We sat down and he said ""I'm not ready for you yet"" and walked away. It was really odd. I understand that you have a full bar and you're very busy but just communicate properly "" hey guys, welcome in, I'm working on a couple drinks right now, do you mind if I come back down to you in a minute?"" that's all that needed to be said not, ""I'm not ready for you.""

When he came back and I got the sensational glass of rosé, we were ready to put in our appetizer before deciding on our main entrée. We ordered the appetizer and then asked us what we'd like for our entrée, we said we're still debating the entrée and will order later, he said ok and walked away. Two minutes later he came back and asked ""are you ready to order your entrée"", and we replied ""no we're going to wait until we have our appetizer and then we'll put in our entrée."" He said "" I have to put it all in at once so I'm not gonna put your appetizer in until you order your entrée"". So strange since we were both sitting there waiting on the appetizer we thought we had put in ... If he hadn't informed us of this we would've been waiting a long time! I complained about it to the woman sitting next to me, who was listening to the entire transaction, just shrugged. This was the second ding she heard me mention about our short time there.

The bartender could send the dissatisfaction of having to order everything at once and then started to explain that it's because the kitchen gets backed up and when you put in your appetizer and entrée separately it kicks back to square one and it could take 45 minutes to come out. Again, if that has been communicated at the beginning of ordering, this wouldn't have been an issue. It's like when you go to a Spanish restaurant, and they tell you the paella will take 45 minutes to cook so that you have an expectation. Just communicate.

It gets weirder! Right after this interaction, while sitting at the bar, I started to draft my Yelp review.  I even pushed back a bit and held my phone at an angle so the bartender didn't see as to not be rude. As I'm in the middle of drafting my yelp review, the host looks over and says ""what are you writing? ""And I didn't know how to respond so I said ""my yelp review ... what are you writing"" and then in what seemed like a power-play, he said btw I'm the owner and have you met my wife... She's sitting right next to you. Apparently, I was sitting next to his wife and daughter at the bar the whole time and she was the one I mentioning the bartender was being rude and that I couldn't believe we had to put our whole order in at one time. 
In that moment, I was so taken aback by his comment on my yelp review and then making me feel so awkward with his ""power-play "". But in true fashion, I dug back in and told his wife ""I don't regret what I said / the bartender was curt and it's ridiculous to have to order everything at once, that's not what dining out is about and it doesn't make it enjoyable. Further had he just communicated properly then it would have been a perfectly pleasant experience"".  

We stayed to finish our drinks and I continue to have conversation with his wife and daughter to smooth the air a bit, but at the end of the day we decided to not have dinner or an appetizer, pay for our drinks, and head out!",307,167
Kara B.,6/27/24 2:41,0,0,0,0,4,"Food 5/5
Service 5/5
I docked a star because it was soooo hot inside. I know it's summer but I was sweating and was very uncomfortable. I also docked a star because the drinks were weak. I had two martinis and didn't have anything close to a buzz. Spent 30 bucks on 2 cocktails for nothing. However, the food and service was excellent so I'd still return in a heartbeat!",460,79
Linda P.,7/4/24 0:07,0,0,0,0,5,"Every restaurant  was closed OR had an 
interminable wait time. We happened by here, went in and were promptly seated. The patio area is lovely, the menu had many intriguing offerings, excellent bar menu and very laid back ambience. We agree we'd like to come back the next time I'm up that way for a visit.",545,160
Todd V.,7/25/24 12:30,0,0,0,0,5,Always great food with a fun atmosphere. Pizzas are awesome. Drinks are fun as well! We will be back!,7,1
Jim L.,8/1/24 12:48,0,0,0,0,5,This place is both bar and a restaurant. Their baguette was excellent! Their food was decent too! I would definitely come back again,250,250
Tia D.,8/2/24 22:41,0,0,0,0,5,"I have been very pleasantly surprised by the food scenery in Charlottesville and Orzo did not disappoint! Service was awesome and the food was delicious.  They have season rotations and I decided to try a cantaloupe cucumber salad, which sounds a bit crazy but came out absolutely delicious.  Couple that with their special bourbon drink I had, I left very satisfied and my palette happy.  Thank you Orzo!",151,2
Katie M.,8/20/24 20:17,0,0,0,0,5,Awesome service by an attentive waiter. Love the olive appetizer. Fun cocktails. Good salad with shrimp,34,15
Melissa E.,9/1/24 1:05,0,0,0,0,5,"Amazing!!! From the ambiance, food, wine and service!!! Probably the best humus I have ever had!  Perfect for celebrating our Anniversary!",9,122
Lou M.,10/5/24 16:51,0,0,0,0,5,"This was our first trip here, but definitely not our last!  Grilled Housemade Focaccia, Peasant Beef & Pork Bolognese, Braised Lamb Shank and finished with some Lemon Semifreddo....absolutely delicious!  Annie was amazing , checking on us throughout our food experience.  Can't wait until the Roman Holiday passport menu changes, so we can return for some more deliciousness!",3,0
Rich M.,10/7/24 0:35,0,0,0,0,5,Everyone at this location was awesome.  Our waiter was helpful with food and drink suggestions.  The food was most excellent.  I grew up in NY and am spoiled when it comes to Italian food.  These guys knocked out out of the park.  Def check it out.  Easily walkable from the Omni too.  Enjoy!,6,0
Carol R.,10/8/24 3:45,0,0,0,0,5,"Amazing! Food, service and wine list were outstanding! Simple ingredients with just the right balance. It's like I was back in Rome for a few hours! Thank you! I will definitely be back.",20,0
Mauricio P.,10/10/24 0:17,0,0,0,0,5,"We ate here in September, our plates were incredible - presentation, taste - full package.  Our server was great, she recommended a white wine that was a special to the wine list - great recommendation!  Ambiance was great and the themed menu - had excellent choices.",7,0
Tiffany G.,10/19/24 13:31,0,0,0,0,5,"The restaurant gives a casual but fancy vibe! The food and service was excellent! We came to celebrate our anniversary and they acknowledged it right when we got there. Our waiter recommended a fabulous wine that both me and the fiancé were raving about! Wonderful for people who like sweeter wines. Our appetizers were the halloumi cheese and it's was yummy but only comes with two pieces of bread so we also got a half baguette which was so good we wished we'd gotten a whole! The entree and dessert were so delicious! The parking was full at the market so we parked at a garage on Water Street, a 9 minute walk but easier than finding parking there. Overall it was a great experience and we already want to go back!",39,79
Paul M.,10/20/24 15:01,0,0,0,0,4,Food was good and the service was attentive.  They have a broad (maybe too broad) a menu but most items are quite tasty.,76,0
Patrick C.,10/21/24 23:14,0,0,0,0,5,Wow! Such a great restaurant. I loved every second of my time here. Me and my cousin had a great time this past weekend,11,0
Colette E.,11/7/24 22:40,0,0,0,0,5,Amazing and helpful staff very friendly. Food was delicious. The appetizer with the eggplant is delicious. Drinks and wine selection great.,5,0
Alyssa W.,11/25/24 0:53,0,0,0,0,3,The ambience is nice. The interior is well decorated. Unfortunately the food was woefully unappealing. There are so many great restaurants on main street that I have a hard time ever returning to Orzo. The good thing about Orzo is that it is easy to get a table...because it is not popular.,106,0
Janet M.,11/27/24 16:15,0,0,0,0,5,I love Orzo and am never disappointed. The service is excellent and so is the food. It is a pleasant atmosphere and prices are reasonable.,8,0
Gitansh B.,12/17/24 12:25,1,0,0,1,5,"This is one of those spots I've been wanting to try for a while now so I'm really happy that one of my friend's love and excitement for their Hummus at Orzo is why we came here.

Walking in on a Saturday evening, there were 3 of us without a reservation, but that didn't seem like an issue as we were seated almost immediately. The ambiance and aesthetics were nice!

We all ordered our own entree, but we started off with the hummus which came with some nice warm bread. It wasn't pita bread so I was surprised, but it tasted really good. My friend was right about the hummus, it was definitely a hit! I can see why he will just go to Orzo sometimes for the hummus only.

For my entree, I ordered the Saffron Risotto which can be tricky to make, but once again, a hit! Orzo really made it taste great and it was a perfect sized portion as well.

I did not try and of the drinks or the desert this time around, but I look forward to trying these on my next visit!",123,20
Amani A.,1/31/25 0:37,0,0,0,0,5,We went for Cville restaurant week and they were so accommodating! We didn't have a chance to make reservations and they were really kind about us inquiring about a place at the bar. The food was delicious and a great value for restaurant week. The options on the menu were varied and all looked delicious. I  would additionally give a special shout out to their incredible tiramisu. We hope to return!,7,0
Zoe G.,2/2/25 19:56,0,0,0,0,5,"Went for restaurant week. Had the shaved fennel salad, beef and pork bolognese and the tiramisu. It was all so good and the service really elevates the experience.",12,0
Kristy W.,2/5/25 3:50,0,0,0,0,5,"Fresh, delicious food you feel good about eating. We thoroughly enjoy the cozy atmosphere, friendly service, and wide selection of wines. They have a smaller cocktail menu, but equally as delicious. A great date night spot, but not pretentious - you can enjoy any time you like!",78,272
